"network","limu_RA","cca_RA","coral_RA","FC_LimuVCoral","FC_LimuVCCA","FC_CoralVCCA","tuk_Coral_CCA_diff","tuk_Coral_CCA_p","tuk_Limu_CCA_diff","tuk_Limu_CCA_p","tuk_Limu_Coral_diff","tuk_Limu_Coral_p","f_stat","sum_of_sq","p_val","adj_p_val"
671,5.78109579760593e-05,1.87092152368469e-06,0,Inf,4.94952202849754,-Inf,-0.000224870214594106,0.957347043067086,0.00264611842399562,0.0146765427545784,0.00287098863858972,0.00579484151210041,5.63863276378636,0.000141794388506006,0.00478275077907996,0.00970807678463655
1081,0.000474560073929034,0.000353493279117204,0.000616967032707632,-0.378602674167658,0.424907941973318,0.803510616140976,0.00570211952417881,0.250506323523218,0.00610668589267782,0.307812940569768,0.000404566368499008,0.994501091335277,1.62784311720409,0.000813659717896534,0.201512101718683,0.225609214031828
940,3.9731302857751e-05,6.61851862758209e-07,0,Inf,5.90762394666379,-Inf,-0.000133746155834577,0.97745587960828,0.0021667002712998,0.0152040982858487,0.00230044642713437,0.00741297900097737,5.43984173532602,9.25338269677048e-05,0.00572006713154177,0.0111571101081375
515,0.000132804187222761,2.48717097710355e-05,1.84798290196896e-05,2.84527732083466,2.41672304242643,-0.428554278408232,-0.000259797194629044,0.972227497732718,0.00657343640119405,1.01032782136024e-05,0.00683323359582309,2.67347862736855e-06,15.9843753341101,0.000830505352641556,9.47206642108672e-07,9.21373733687526e-06
221,8.23507007419453e-05,0,0,Inf,Inf,0,9.43255890062389e-18,1,0.00365327779620797,0.00255279238199646,0.00365327779620796,0.00194563797338521,7.41572874225298,0.000245678132934762,0.000993015769845285,0.00283881225806916
392,0.000286493594901761,2.96213884385455e-05,0.000564199521572821,-0.977702557348046,3.27379171467098,4.25149427201903,0.0109942873241017,0.00636742780761501,0.00418477905991899,0.56231543880891,-0.00680950826418271,0.206508795351297,5.01319728767974,0.00242844750937836,0.00841697242140979,0.0145933156102684
889,2.28699778407631e-05,1.62666812677787e-05,1.63577023286557e-06,3.80541294725197,0.491535025847553,-3.31387792140442,-0.0012971086399493,0.181194600319225,0.000287771403759795,0.938339397880874,0.0015848800437091,0.13905164145946,2.42861433802293,5.06802684016927e-05,0.093342887807059,0.114051913486929
760,0.00479353948439304,0.00159862890018119,0.000155357830715757,4.94742444929087,1.58425624007477,-3.3631682092161,-0.0264854203353946,0.000459703356653018,0.00815089271959432,0.553556780190134,0.0346363130549889,4.90128290993042e-05,12.8018489451748,0.0228967349299031,1.12170516270746e-05,7.92601100818765e-05
1154,1.81272245121359e-05,1.27465121348788e-05,1.55251375684256e-05,0.223551996443513,0.508055516430872,0.28450351998736,0.000697458816058703,0.646095218212607,0.000461288368913011,0.867637145857988,-0.000236170447145692,0.961653162748402,0.404826381880706,9.71960142865622e-06,0.668180902168236,0.692209537654231
389,4.74269432996768e-05,0,0,Inf,Inf,0,-8.67361737988404e-19,1,0.00215576014627581,0.0312832258072154,0.00215576014627581,0.0265929924560359,4.1647473931632,8.55464488202137e-05,0.0183089784236378,0.0274818133052199
1273,9.62941957989084e-05,1.68021583447552e-05,2.45123908262599e-05,1.97393763629058,2.51880227290268,0.544864636612098,0.00038949493671542,0.933397646021563,0.00496665442793129,0.000544552911950213,0.00457715949121587,0.00115801463962706,8.80549149787123,0.000419986625539361,0.000300335042894765,0.00116554894885067
305,9.97907406993825e-05,1.58097063291105e-05,1.40222218290017e-06,6.15311908975858,2.65809538880544,-3.49502370095315,-0.00156304775763475,0.249502475890372,0.00461007590423976,0.000280561278177438,0.00617312366187451,6.28543442848795e-07,15.8362159675628,0.000593023373572616,1.05988112032333e-06,1.01775763990022e-05
805,0.000430348444449322,0.000237219702259295,3.90190993105017e-05,3.46325287274311,0.85928141627103,-2.60397145647208,-0.00829200416331009,0.000580685470896514,0.00348515027810096,0.346616133409517,0.0117771544414111,1.44167915919757e-05,13.7833198606357,0.0024994734288057,5.16587878545999e-06,3.9889105260923e-05
452,0.00177586011402627,0,9.75183052759548e-06,7.50862917427306,Inf,Inf,0.00103171892464637,0.970307508558113,0.0144741976271931,0.0157282789716819,0.0134424787025468,0.0229114833858652,4.68969419659692,0.00359066126128387,0.011303826109157,0.0184456770277965
775,0.000321681750925415,4.22986525261086e-05,8.55707539281875e-07,8.55430057695236,2.92695048349038,-5.62735009346198,-0.00266740200381662,0.316559087695228,0.00717511685650229,0.00305433461412363,0.00984251886031891,2.15700505977745e-05,11.3532487146697,0.00149925461173076,3.60264954476201e-05,0.000215728831605657
756,0.000111084265729775,0.000267347357864339,3.71563217833511e-06,4.90190298177345,-1.26706093492323,-6.16896391669668,-0.00901513299073195,9.07850453043535e-05,-0.00365597659699669,0.284334064558215,0.00535915639373526,0.0622036350332089,9.6767955419468,0.00162249642734249,0.000143954576204148,0.000637999867318975
581,6.68004648634175e-05,1.4480452793119e-06,7.85934072016049e-07,6.40930603494019,5.52767952217412,-0.88162651276607,-7.88257335390728e-05,0.994252650370512,0.00436738409201801,1.22463006655416e-05,0.00444620982555709,5.1819453608104e-06,15.3122762869735,0.000358003288751341,1.58037156208669e-06,1.42614253012401e-05
260,0.000753767068116469,7.16415122179284e-05,4.29939228409313e-07,10.7757702997242,3.39525107007114,-7.38051922965306,-0.00395331876390127,0.286599534470146,0.0128276123742145,0.000147412651550605,0.0167809311381158,3.97062363988177e-07,16.5408914236996,0.00441026986353556,6.2239985684069e-07,6.56588017991094e-06
1511,4.12656403102806e-05,5.65034070674579e-07,0,Inf,6.19045935390482,-Inf,-0.000204059878006946,0.949412515308985,0.00221594306484056,0.0138589287305474,0.00242000294284751,0.00507125276965137,5.76762213291652,0.000100275856771224,0.00425984564984509,0.00881387953517671
320,0.000625499121257698,0.000267114196757313,2.66121822063626e-05,4.55484913588054,1.22755120230398,-3.32729793357656,-0.00712806994014704,0.00945339312533933,0.0109534535271459,0.000400690007160809,0.018081523467293,3.72868091957912e-09,22.5224603792111,0.00500053779645552,8.4115057225776e-09,1.46516692702573e-07
355,0.00119934514408489,0.000117640665767146,7.49759684153491e-05,3.9996748313344,3.3497881339603,-0.649886697374094,-0.00443050950702082,0.344575126077441,0.0156388364188394,0.000140099792065307,0.0200693459258603,5.90387114529634e-07,16.1168930376918,0.00634646593016032,8.56797844559984e-07,8.79098062432093e-06
3,3.30904602866782e-05,7.56669468025858e-06,6.06994836566678e-06,2.44665921032225,2.12868022162338,-0.317978988698866,-0.000474200236231451,0.730965192855821,0.00240075763895926,0.00391507933270974,0.00287495787519071,0.000311254135296868,8.64564961138897,0.000133971429797496,0.000344120189057943,0.0013017475838606
608,0.00252330050941868,7.46438680700876e-05,0,Inf,5.07914447327577,-Inf,-0.00360353778777634,0.777669056293339,0.0141060814287781,0.0635588336919571,0.0177096192165545,0.0116135289995027,4.46216075952746,0.00498072526500824,0.0139237696059326,0.0215919325773158
489,0.00060808996002687,0.000847409830354093,2.52267786330156e-05,4.59125687352969,-0.478775094882685,-5.07003196841237,-0.0171919458555094,0.000120732339624174,-0.00764232122172761,0.233247330840451,0.00954962463378182,0.0948296970621612,9.2755715299886,0.00585527674048714,0.000201703164454205,0.000818480003274395
676,5.85269833675791e-05,4.71288374682827e-05,0.000549790920311089,-3.23170925576752,0.312491825652378,3.5442010814199,0.010344810840739,0.00285880091344504,-0.00148573975022393,0.90794547886496,-0.0118305505909629,0.00262833159896803,8.19640904874594,0.00300333298043756,0.00050546469655003,0.0017691264379251
103,0.000644543156714346,0.00429803335067954,0.0234645302475946,-5.1860608076974,-2.73732781188038,2.44873299581702,0.0976109063174282,1.21481380510602e-10,-0.030669842028108,0.0408219855895606,-0.128280748345536,1.21448628931375e-10,69.2355264791438,0.312905098773436,1.34343461520122e-19,1.67705421130952e-17
232,0.000172312299557578,1.21340654161298e-06,0,Inf,7.14981887955715,-Inf,-0.000255985147730842,0.973985278176541,0.00760664728087073,5.88182972216522e-07,0.00786263242860157,1.36948812734516e-07,20.497124095559,0.00110483523611527,3.46681121966806e-08,4.89932378024788e-07
