"family","n_samp_obs","Limu_MA","CCA_MA","Coral_MA","FC_LimuVCoral","FC_LimuVCCA","FC_CoralVCCA","tuk_Coral_CCA_diff","tuk_Coral_CCA_p","tuk_Limu_CCA_diff","tuk_Limu_CCA_p","tuk_Limu_Coral_diff","tuk_Limu_Coral_p","f_stat","sum_of_sq","p_val","adj_p_val","sample_type_DA"
"BD2-7",8,9.39393939393939e-05,8.88888888888889e-05,4.57142857142857e-05,1.03908520797339,0.0797271924707345,-0.959358015502654,-0.00182824647067495,0.62559545969228,0.000561902054545398,0.966266930544279,0.00239014852522034,0.543909884466542,0.688056160620492,9.52737230234113e-05,0.505175726719417,0.566738360083074,"NA"
"Cellvibrionaceae",66,0.016169696969697,0.00198703703703704,0.000937142857142857,4.10887984415301,3.02460197323308,-1.08427787091994,-0.00901133844099031,0.607794591645049,0.0813564591001299,5.35776312204916e-10,0.0903677975411202,4.37754943405366e-10,39.4873933429433,0.125081139582272,4.88570359792246e-13,1.42515963964778e-11,"Limu"
"Cellvibrionales_unclassified",43,0.00232727272727273,0.000314814814814815,0.00016,3.86249647625007,2.88606494738847,-0.976431528861596,-0.00474270193772645,0.515946018028948,0.0273115890668636,8.09894143305456e-07,0.03205429100459,1.39592202241801e-08,23.0256880984405,0.0151641948849743,8.40002663671663e-09,1.25200397013919e-07,"Limu"
"Halieaceae",86,0.0192090909090909,0.00348148148148148,0.00334285714285714,2.52263563577184,2.46401598889611,-0.0586196468757309,-0.00492848648990817,0.820762856830163,0.0783353849742291,4.37625935489905e-10,0.0832638714641372,4.35623870309598e-10,45.8426848429596,0.109988942030103,1.86859362828364e-14,7.31087257065975e-13,"Limu"
"Microbulbiferaceae",75,0.0016030303030303,0.00761481481481481,0.00172190476190476,-0.103203651993493,-2.24800725427484,-2.14480360228134,-0.0221170805368173,0.133711474331604,-0.0283424174445507,0.0801792323948753,-0.00622533690773341,0.882683866393086,2.98637653018606,0.0137892170777023,0.05549515077849,0.10527261935556,"NA"
"Porticoccaceae",20,2.12121212121212e-05,0.000466666666666667,0.000257142857142857,-3.59960927668556,-4.4594316186373,-0.85982234195174,-0.00860191963839523,0.0471324975184899,-0.0109768070202749,0.0226535398408068,-0.00237488738187964,0.831186621268159,4.58017112347688,0.00207529449413772,0.0127556371820168,0.0302620168296755,"CCA"
"Spongiibacteraceae",49,0.00306060606060606,0.000290740740740741,0.00023047619047619,3.73112773867223,3.39601221155255,-0.335115527119686,0.000278550046474951,0.996887170428913,0.0433564821952754,4.35393054942779e-10,0.0430779321488004,4.35394387210408e-10,64.4262804110814,0.0313740050460343,4.30615296149184e-18,3.36956469236736e-16,"Limu"
"Chromatiaceae",8,0,0.000140740740740741,7.23809523809524e-05,-Inf,-Inf,-0.959358015502654,-0.00102641186657411,0.87422824930661,-0.00364057332184288,0.278276420644903,-0.00261416145526877,0.517620192845335,1.20031126014011,0.000183725622015324,0.30587399321337,0.407398127131,"NA"
"Sedimenticolaceae",17,0,0.000407407407407407,0.000137142857142857,-Inf,-Inf,-1.570792727585,-0.00391621018457448,0.423136231437909,-0.00915710666658368,0.0307427317583397,-0.00524089648200919,0.311247733388031,3.33628155764965,0.0011493020735149,0.0400191097986792,0.0824077721512275,"CCA"
"Coxiellaceae",19,0.000160606060606061,0.00109814814814815,0.000737142857142857,-2.19841790327354,-2.77347445717779,-0.575056553904247,0.00107757651714352,0.983171406509403,-0.00742279306894175,0.541105051738645,-0.00850036958608526,0.451752070843509,0.809281450618337,0.0010832034014658,0.448390638282061,0.532515741603685,"NA"
"D90_fa",27,0,0.0012,0.000626666666666667,-Inf,-Inf,-0.937264244652038,-0.00764860976805043,0.30109951774559,-0.0213803051146467,0.00126498094406891,-0.0137316953465963,0.0564922311216972,6.66809452568214,0.00624665969211095,0.00199321008155484,0.00572362161033639,"CCA"
"Ectothiorhodospiraceae",16,1.51515151515152e-05,0.000366666666666667,0.000102857142857143,-2.76310800896844,-4.59693514238723,-1.8338271334188,-0.00370877227337149,0.429684389941231,-0.00719824079695563,0.0913380188013636,-0.00348946852358414,0.564664442849267,2.31508202326527,0.000728433650257754,0.104611936460915,0.183952450068912,"NA"
"Thioalkalispiraceae",7,0,0.000162962962962963,9.52380952380952e-05,-Inf,-Inf,-0.774933444365226,-0.00267636577264787,0.471849828864904,-0.00462339485582321,0.182570743785328,-0.00194702908317534,0.737409137773366,1.68249395587481,0.000310472305496162,0.191703872356624,0.297433555494631,"NA"
"Enterobacteriaceae",2,0.000248484848484849,0,4e-05,2.63508598014699,Inf,Inf,0.00106929456875618,0.85858326331293,0.0033638382291593,0.318539679873028,0.00229454366040312,0.587777158216401,1.06173220535972,0.000155445934580982,0.350147593561298,0.454756003255959,"NA"
"EPR3968-O8a-Bc78_fa",79,0.000442424242424242,0.00452777777777778,0.00655238095238095,-3.88851689240177,-3.35530080815456,0.53321608424721,0.00532549767057315,0.829967436136889,-0.0415403466148268,0.000401041967052707,-0.0468658442853999,6.69618131985406e-05,11.2021750731271,0.0332649886885117,4.52556246577337e-05,0.000211418067430905,"CoralCCA"
"Francisellaceae",2,6.66666666666667e-05,0,6.47619047619048e-05,0.0418201756946269,Inf,Inf,0.00136078648705785,0.63802949631861,0.0017412023638067,0.568279601977055,0.000380415876748849,0.973455990210867,0.650547946326114,5.21053546676048e-05,0.52419558096667,0.581819917881445,"NA"
"Ga0077536_fa",38,0.00108484848484848,0.000162962962962963,0.000121904761904762,3.15366717557193,2.73487754143197,-0.418789634139951,-0.00108246002631674,0.936108993749051,0.0200685356970275,6.03593412584758e-07,0.0211509957233442,1.86665104928707e-07,20.6081745827269,0.0071496995195633,4.28011231405751e-08,5.58197980958333e-07,"Limu"
"Gammaproteobacteria_unclassified",90,0.0421818181818182,0.0458981481481481,0.0442438095238095,-0.0688543296589296,-0.121814664816583,-0.0529603351576537,-0.0144150963456698,0.771558222712116,-0.00859658423582454,0.931302748243252,0.00581851210984521,0.968241684979554,0.238504583377268,0.0037249453303516,0.788301412940244,0.803707955212692,"NA"
"Granulosicoccaceae",37,0.00268484848484849,0.00017962962962963,8.19047619047619e-05,5.03474953216059,3.90174342917291,-1.13300610298768,-0.00196470207615537,0.903097672508341,0.032558585590998,3.97044509492517e-08,0.0345232876671534,8.86346140926975e-09,25.6071008004607,0.0189479845620954,1.57175934800997e-09,2.89388632898307e-08,"Limu"
"HOC36_fa",74,0.000687878787878788,0.00159814814814815,0.00186857142857143,-1.44170944062065,-1.21617487908303,0.22553456153763,-0.00278214996515889,0.89366386075951,-0.00853696060970358,0.446592766745858,-0.00575481064454468,0.694351480995107,0.743300498044463,0.000999723788029941,0.478438103747411,0.54257654519181,"NA"
"JTB23_fa",57,6.06060606060606e-06,0.00587962962962963,0.00505142857142857,-9.70301366180492,-9.92204749374188,-0.219033831936957,-0.00998782343097898,0.559412056749305,-0.0623906223749218,5.58140709872035e-07,-0.0524027989439428,2.55971466391891e-05,17.1807429748803,0.0572374784631559,4.78682231050719e-07,4.99425127729583e-06,"CoralCCA"
"KI89A_clade_fa",85,0.00768787878787879,0.00582407407407407,0.00441714285714286,0.799472097725605,0.400556885102303,-0.398915212623302,-0.0134659260426386,0.172889000447996,0.0123709568318148,0.31663404668207,0.0258368828744534,0.00898042969268043,4.71505854620101,0.00928703955347185,0.0112876916278016,0.0276019334336085,"Limu"
