id	clade	color	linetype	line
2c23e6835be30d1398a9bcfa2801c0e9	clade	#d95f02	dashed	4
ffaaf5c0dabda8db691a6ceac1b40ffe	clade	#66a61e	dashed	4
ae61f68a87715188dff7732210893645	clade	#7570b3	dashed	4
8242bf13dde1e34ba618662a2e62eabe	clade	#66a61e	dashed	4
71118274b58581d52378b448fd163968	clade	#66a61e	dashed	4
bc0b7fed09df8e05754157478f89433d	clade	#a6761d	dashed	4
25da563349252d676119585b4e51c40e	clade	#7570b3	dashed	4
ad849f4e52bef28d5ae1fe5c79ffba04	clade	#66a61e	dashed	4
344774909d44997a252d515fd0ead764	clade	#66a61e	dashed	4
1515d9415a87b6be24cdd503b1aa85d5	clade	#1b9e77	dashed	4
90d5ef00a3c18cc69113a93f737efdbc	clade	#1b9e77	dashed	4
e94f1a900fe0bc28aa072e88f40f709f	clade	#1b9e77	dashed	4
121a794c4620831111933c25bc6e7bfe	clade	#1b9e77	dashed	4
b0343608b40d4e2c856b7eefbe5c1ba6	clade	#1b9e77	dashed	4
52a4bdc8e402ecbb56642e024d75c9d9	clade	#d95f02	dashed	4
1b78ae6fac7d31768ba34043dc990938	clade	#66a61e	dashed	4
79af39f7753693e3f07b31f759a4fdaa	clade	#7570b3	dashed	4
18d8ffc8425e47f8ecb7bf52d5c11ff8	clade	#a6761d	dashed	4
79c1df9fcbf8bbd1f8b8de3cedb4d5f2	clade	#666666	dashed	4
f3d398d7ab611d8c16efb591c41dd29f	clade	#a6761d	dashed	4
0b62bb63aa00963e429db9ae2767ed7a	clade	#66a61e	dashed	4
27212b291bcb72e96ed7a03dd587f497	clade	#666666	dashed	4
48cda1c0c989a9c2d4ed543bc45d332b	clade	#1b9e77	dashed	4
fee08b389879faecba4e31f800ade4a3	clade	#7570b3	dashed	4
cb7dc0eb78d3f547739b103b4c768a9e	clade	#7570b3	dashed	4
2c2d38dc493c3fc57d1fb0c71ee52982	clade	#7570b3	dashed	4
7c24e96eb4f0d0518739eb92c036e7af	clade	#7570b3	dashed	4
df7540f953ed96653b8b01bb40e95f6b	clade	#e6ab02	dashed	4
29160af992751c3e6d4a6ebfe1b057cd	clade	#66a61e	dashed	4
dc1dcea4279df964f70d5196ef908ad3	clade	#66a61e	dashed	4
6b5e8cd43a38b93421853a0f8dc6e99b	clade	#66a61e	dashed	4
9e417172770bffb5fca872e138bc6f41	clade	#e7298a	dashed	4
aff56ece4c9a309b40c2cbbd407e3bc1	clade	#66a61e	dashed	4
ca4e47303fefccd56f445dd404d700e3	clade	#1b9e77	dashed	4
eda39cfca598ae8a85781fae55cf2ba7	clade	#7570b3	dashed	4
8f7c6d48c39a4a9a63d8bfb78028fa66	clade	#1b9e77	dashed	4
032500052099301b38ecbf06009b80c5	clade	#66a61e	dashed	4
3304ebd3e66dd1fb62f3fc7283ed3987	clade	#66a61e	dashed	4
af46c86b73faca9f3adb4b9b07520660	clade	#66a61e	dashed	4
de1dfae241163bde892cfa794b7b4e7c	clade	#66a61e	dashed	4
7e2151852806b5d01573c586acfe2038	clade	#a6761d	dashed	4
3fd3dc442da89224a0361e3851b9f3ec	clade	#66a61e	dashed	4
2c238bdabf2c6b65b19ec9716e54a730	clade	#66a61e	dashed	4
b2111906ca46129b654d35af8836faec	clade	#1b9e77	dashed	4
626fa44d51a6cfc88cdbe32641989f17	clade	#7570b3	dashed	4
7fdc4fb30cc64f15ae3e726d290e330c	clade	#a6761d	dashed	4
802ff4c727eeffb0dd3f33c4df017621	clade	#a6761d	dashed	4
72261d9398a14ad53def5af1f88edd6b	clade	#66a61e	dashed	4
440997cf3f2f9ec2ff74cc617feac9aa	clade	#66a61e	dashed	4
24c6845f96bc45188afc7aa3ae496531	clade	#66a61e	dashed	4
7488a69eddbd8e3793c043f4d1312d9e	clade	#66a61e	dashed	4
d7b131250a0de6e2b59c03695f432eab	clade	#1b9e77	dashed	4
18cd424a0f9bb0530cc1452fc9b4415e	clade	#66a61e	dashed	4
1b72f481d0e49d80089f3cca17f8c3c9	clade	#66a61e	dashed	4
33ddf7a27159a5899f11c7c5300065ff	clade	#666666	normal	6
225caadc1e57c0f685fe38b1ee698d11	clade	#7570b3	dashed	4
13e3edd94200a559604443d847126c3c	clade	#1b9e77	dashed	4
24829b9f4c9a4fec0a277b3b78a3a7d7	clade	#66a61e	dashed	4
f650372a7d27a8c5849f3572c8951288	clade	#66a61e	dashed	4
dfd9a1e7411140092006c702108dbaa8	clade	#a6761d	dashed	4
345bc4ba3ce48b82634693ffd75b9490	clade	#666666	dashed	4
83261f146f041500f2c653c197fcb776	clade	#66a61e	dashed	4
35f5f7c49932286b3912798c984b79b3	clade	#d95f02	dashed	4
27df56923276656baf9b017d65503b4c	clade	#66a61e	dashed	4
0601cd91e3481aa06971ce2d0aeb7e42	clade	#66a61e	dashed	4
00fab07b8e479ba85b6be398477cc034	clade	#7570b3	dashed	4
5778b0fb6338524cb06e58a74f9e917c	clade	#a6761d	dashed	4
c052dd832dbbcfe91617843712b1cbe7	clade	#d95f02	normal	6
96532b634388ea94a2540e428833021b	clade	#7570b3	dashed	4
b93fd3fabd151f131183f3a137952caf	clade	#7570b3	dashed	4
7d3d5ca3a9aad00426156d0f9453ef59	clade	#1b9e77	dashed	4
4ca8f50cf423126b6d18862755a9be91	clade	#666666	dashed	4
9e3ae08f72acc1e43e6fd2c835d31a86	clade	#666666	dashed	4
36874e015c3992acad01f0497ea92010	clade	#7570b3	dashed	4
f0d0cc135c3dbeb6fe8bcf254d011e14	clade	#7570b3	dashed	4
1a4ef530308badfb23d0b41f567f55a6	clade	#66a61e	dashed	4
24cb0dd5a4de42917e04767ca67b8ae0	clade	#1b9e77	dashed	4
30e73fe5d06f5e343b638f2e26819520	clade	#7570b3	dashed	4
0d452b5e9cf53d374b1cddb28b65213f	clade	#66a61e	dashed	4
00d7b17fdf7abb92bcefa0e6febb205c	clade	#e7298a	dashed	4
314a233e4a22e104a1d16347a0bb9308	clade	#66a61e	dashed	4
9e94a183ed4a2688967bd434dfb3410f	clade	#66a61e	dashed	4
a6c2ae95cb78ca7cd92c3fed73b525d1	clade	#66a61e	dashed	4
830c1986ae4beec7fb4ec533df46390a	clade	#66a61e	dashed	4
94190f4cb6bb4501cc7ea9c47fc54acf	clade	#66a61e	dashed	4
d3940fc6d6c8de15ac5ab2709873a26c	clade	#66a61e	dashed	4
c2cb30f97384f6f286668f0a43aa1db8	clade	#666666	dashed	4
6e832e367433f3c2be5f05223c1fb759	clade	#66a61e	dashed	4
6eec11cbaee10fc60c8e51f70a6c92c1	clade	#7570b3	dashed	4
5f608c4cada1b4a4602f0b8684857edf	clade	#66a61e	dashed	4
e829c65562da9337da753369b51554d2	clade	#66a61e	dashed	4
4826cb890a359260b445c94e488c45fd	clade	#666666	dashed	4
86ac66626fd62bced5b9a7a9523ece82	clade	#66a61e	dashed	4
123636bdce519d8e190ee028c82c1049	clade	#1b9e77	dashed	4
4cb2fd55a13cec8069cd477ae3420285	clade	#7570b3	dashed	4
255e45f581548c6a1e49a56660775feb	clade	#66a61e	dashed	4
28e4d1512705bd4d2fa29a1e9884115e	clade	#1b9e77	dashed	4
b7a4224f2a1ce23e0dbf1abb28426d80	clade	#66a61e	dashed	4
4d7e0e65ef24f3f5012fddd941194925	clade	#66a61e	dashed	4
ada349e4f3d73f5ab8b97db5ec7538e5	clade	#66a61e	dashed	4
07eecb5e24b961ec79a166f5bdea3eae	clade	#7570b3	dashed	4
9bbea5570da211f1a482cb33cc96c3b9	clade	#66a61e	dashed	4
194c7fcf6834b2edf60c10052ad2b60b	clade	#d95f02	dashed	4
7812aa70aa1c4de42bcf948813b8233a	clade	#a6761d	dashed	4
42266aed6d1ff0d7552952c7673368e8	clade	#66a61e	dashed	4
c0f994f0508222cb36cc8f1cd228abb6	clade	#66a61e	dashed	4
59135b72d1944d8c029b0e87bf7ba4a7	clade	#66a61e	dashed	4
9d5870aad6b7f35e71731579adfd052d	clade	#66a61e	dashed	4
61ab98acf009b65f0b305b08c0cf21bf	clade	#66a61e	dashed	4
cab582b40cb092961bc58cfa95a71281	clade	#1b9e77	dashed	4
6c9abe1f98b72dd970b662301d095383	clade	#66a61e	dashed	4
3bb4bd3f9b8dec8dd93c781551d4d8c8	clade	#a6761d	dashed	4
e27263af9fe939d8d982e7def1e893f6	clade	#66a61e	dashed	4
4d9113d17fbe662b01e375cb16e1ad91	clade	#66a61e	dashed	4
2c0b5e4b48d5a12ce07271d359ba31f0	clade	#66a61e	dashed	4
b67764affeec6c0484ba2858245c4e08	clade	#66a61e	dashed	4
95f927267a4daa828dc577578fdf952c	clade	#7570b3	dashed	4
1e93f57fb384ef453bf5204ccca7c52b	clade	#a6761d	dashed	4
120d6ade157643b06c3ae98f184b9b5e	clade	#e7298a	dashed	4
2fc32c153ef1d92ec03cb3e650e87d75	clade	#1b9e77	dashed	4
936fc27b6bc913cfadb64f78f2fa11b5	clade	#66a61e	dashed	4
38a617571840e005884a438e45f77e75	clade	#666666	dashed	4
d2fba0bf5a7f6ad60bceb61608e804d3	clade	#1b9e77	dashed	4
5b17319664858a7270a601f5c7bdb039	clade	#66a61e	dashed	4
4bb9209dd2a1990068ed36bb47d68cd5	clade	#7570b3	dashed	4
bff22fce8e3ed79c3bc45dafcb51b825	clade	#7570b3	dashed	4
282fd8282a666a3e76c1203a2beba80f	clade	#666666	dashed	4
841aa495b5ed25c790294990fdee2e3c	clade	#66a61e	dashed	4
8006d56ca87eb1c8365799340e2e2e7d	clade	#66a61e	dashed	4
93e22d9b24668b7f0933fa082cb81dfc	clade	#1b9e77	dashed	4
504970abe4b19ea8e4d3c9d75bb4a52c	clade	#66a61e	dashed	4
c6b0deb277e2d4224c2801e6764a47dc	clade	#66a61e	dashed	4
aff4c1300af8fd0a1e8c456258282be5	clade	#a6761d	dashed	4
262c1d0c774cc8a89ad5e4e64495cd2b	clade	#66a61e	dashed	4
fb45ec6f7dd72945c3245e93c7b02c3e	clade	#66a61e	dashed	4
cacdd19c55d315c7bde694805457cbfa	clade	#66a61e	dashed	4
354a918dc00b93fe41ad43ca7564629c	clade	#e6ab02	dashed	4
459f1f831e19d85575fab06e20746446	clade	#e6ab02	dashed	4
563640cf530653d05e73bb62f4ab77e3	clade	#666666	dashed	4
7caa85e3d19b74d6b8e9497fcc95c33b	clade	#d95f02	dashed	4
3063108b7310970737d1f00abcc60cf0	clade	#e7298a	dashed	4
953de05387fdd3778274645f71156cae	clade	#66a61e	dashed	4
418e4198dcabfb59ad3a7125f758558d	clade	#a6761d	dashed	4
